glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id,glean_id
2019-09-30,First new bill in 3.07 months from vendor 014deb41-8f37-4f50-81b2-856e7fea015e,1,1,efcadc95-c854-43e6-bfd9-36c26fd0f3bf,014deb41-8f37-4f50-81b2-856e7fea015e,0
2020-06-24,First new bill in 5.97 months from vendor 014deb41-8f37-4f50-81b2-856e7fea015e,1,1,d0a663cf-e6d1-4511-98f7-8f6506055e66,014deb41-8f37-4f50-81b2-856e7fea015e,1
2020-06-22,First new bill in 12.8 months from vendor 021143b8-0357-4836-ab87-50a9756d8156,1,1,7da68667-4f3c-4b9d-b9ac-6db57ce49494,021143b8-0357-4836-ab87-50a9756d8156,2
2020-08-01,First new bill in 5.03 months from vendor 089685a6-ecec-44ab-bfdf-b2ccb5182382,1,1,a205f7ca-d7ae-4c52-a6ac-8eb9e32a588f,089685a6-ecec-44ab-bfdf-b2ccb5182382,3
2020-09-21,First new bill in 8.73 months from vendor 0d41b0c0-dd27-4c32-909d-a190744e747b,1,1,e0d0a045-5b38-4874-ab65-1bb521648dea,0d41b0c0-dd27-4c32-909d-a190744e747b,4
2019-11-30,First new bill in 8.13 months from vendor 0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,1,1,aa72f769-0c12-4c5e-bc86-d74be4fa8eeb,0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,5
2020-07-21,First new bill in 7.8 months from vendor 0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,1,1,db45dfe4-13cf-4413-b243-d6e9921d00e9,0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,6
2020-08-17,First new bill in 3.03 months from vendor 10eaea15-03c3-4d52-9120-9fa817ae4fd3,1,1,a402e241-1b10-478c-9d0d-ed5fb5d283d5,10eaea15-03c3-4d52-9120-9fa817ae4fd3,7
2019-08-19,First new bill in 3.2 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,1,1,64a94d7a-b3a2-4944-b0da-7d477a337f40,10f69fbc-678c-4af1-8894-4f176c2b276c,8
2020-02-18,First new bill in 6.1 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,1,1,75eb2429-b5b7-4383-9b61-5881193e0001,10f69fbc-678c-4af1-8894-4f176c2b276c,9
2020-08-17,First new bill in 3.13 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,1,1,59f9fa6d-1441-44e1-a4a3-99c135f54f1b,10f69fbc-678c-4af1-8894-4f176c2b276c,10
2020-11-16,First new bill in 3.03 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,1,1,5c54850a-a897-4e63-b73c-6f9f36b8f506,10f69fbc-678c-4af1-8894-4f176c2b276c,11
2020-06-30,First new bill in 5.67 months from vendor 122c91c1-d193-4e6e-aae4-4c480aafec6e,1,1,f7a7a716-afcd-4025-93b3-cbef83586981,122c91c1-d193-4e6e-aae4-4c480aafec6e,12
2020-11-14,First new bill in 4.57 months from vendor 122c91c1-d193-4e6e-aae4-4c480aafec6e,1,1,74d9feeb-f573-4612-89a3-a928895e2dec,122c91c1-d193-4e6e-aae4-4c480aafec6e,13
2019-09-30,First new bill in 8.07 months from vendor 153ec8ce-be54-4776-9e21-78e27dc6c507,1,1,0289d7f6-7894-412c-85a5-693ebd04486a,153ec8ce-be54-4776-9e21-78e27dc6c507,14
2019-06-30,First new bill in 3.03 months from vendor 185a63c2-5614-4c7c-ad7a-985ba6bd8195,1,1,3d01fa12-9eef-4a0a-b2d0-31c0b3f76532,185a63c2-5614-4c7c-ad7a-985ba6bd8195,15
2019-08-17,First new bill in 6.0 months from vendor 1d937e0f-683d-4958-9ebd-6c6156899afc,1,1,55053ebb-bd16-407b-a5b4-b36242dec399,1d937e0f-683d-4958-9ebd-6c6156899afc,16
2020-01-24,First new bill in 10.33 months from vendor 1e71abd5-41e3-488d-bb1c-9e48f3790846,1,1,8aee1c4c-5297-455c-8424-a1dcb50f5966,1e71abd5-41e3-488d-bb1c-9e48f3790846,17
